run	condition	replicate
20240331_YSJ-HY_0_100-400ng_A_90min_stdDIA-HomeMade_Slot1-10_1_5151	H0_Y100	1
20240331_YSJ-HY_0_100-400ng_B_90min_stdDIA-HomeMade_Slot1-11_1_5152	H0_Y100	2
20240404_YSJ-HY_0_100-400ng_C_90min_stdDIA-HomeMade_Slot1-21_1_5202	H0_Y100	3
20240404_YSJ-HY_0_100-400ng_D_90min_stdDIA-HomeMade_Slot1-22_1_5203	H0_Y100	4
20240331_YSJ-HY_2d5_100-400ng_A_90min_stdDIA-HomeMade_Slot1-12_1_5154	H2d5_Y100	1
20240331_YSJ-HY_2d5_100-400ng_B_90min_stdDIA-HomeMade_Slot1-13_1_5155	H2d5_Y100	2
20240404_YSJ-HY_2d5_100-400ng_C_90min_stdDIA-HomeMade_Slot1-24_1_5206	H2d5_Y100	3
20240404_YSJ-HY_2d5_100-400ng_D_90min_stdDIA-HomeMade_Slot1-25_1_5207	H2d5_Y100	4
20240331_YSJ-HY_5_100-400ng_A_90min_stdDIA-HomeMade_Slot1-14_1_5157	H5_Y100	1
20240331_YSJ-HY_5_100-400ng_B_90min_stdDIA-HomeMade_Slot1-15_1_5158	H5_Y100	2
20240404_YSJ-HY_5_100-400ng_C_90min_stdDIA-HomeMade_Slot1-28_1_5210	H5_Y100	3
20240404_YSJ-HY_5_100-400ng_D_90min_stdDIA-HomeMade_Slot1-29_1_5211	H5_Y100	4
20240331_YSJ-HY_7d5_100-400ng_A_90min_stdDIA-HomeMade_Slot1-16_1_5160	H7d5_Y100	1
20240331_YSJ-HY_7d5_100-400ng_B_90min_stdDIA-HomeMade_Slot1-17_1_5161	H7d5_Y100	2
20240404_YSJ-HY_7d5_100-400ng_C_90min_stdDIA-HomeMade_Slot1-31_1_5216	H7d5_Y100	3
20240404_YSJ-HY_7d5_100-400ng_D_90min_stdDIA-HomeMade_Slot1-32_1_5217	H7d5_Y100	4
20240331_YSJ-HY_25_100-400ng_A_90min_stdDIA-HomeMade_Slot1-19_1_5163	H25_Y100	1
20240331_YSJ-HY_25_100-400ng_B_90min_stdDIA-HomeMade_Slot1-20_1_5164	H25_Y100	2
20240404_YSJ-HY_25_100-400ng_C_90min_stdDIA-HomeMade_Slot1-34_1_5220	H25_Y100	3
20240404_YSJ-HY_25_100-400ng_D_90min_stdDIA-HomeMade_Slot1-35_1_5221	H25_Y100	4
